game_id,home_team_name,away_team_name
21400899,Brooklyn Nets,Charlotte Hornets
21400890,Charlotte Hornets,Los Angeles Lakers
21400882,Orlando Magic,Charlotte Hornets
21400902,Minnesota Timberwolves,Denver Nuggets
21400888,Minnesota Timberwolves,Los Angeles Clippers
21400898,Boston Celtics,Utah Jazz
21400894,Memphis Grizzlies,Utah Jazz
21400904,Oklahoma City Thunder,Philadelphia 76ers
21400878,Los Angeles Lakers,Oklahoma City Thunder
21400905,Miami Heat,Los Angeles Lakers
21400907,Golden State Warriors,Milwaukee Bucks
21400886,Brooklyn Nets,Golden State Warriors
21400880,Boston Celtics,Golden State Warriors
21400892,Atlanta Hawks,Houston Rockets
21400893,Chicago Bulls,Washington Wizards
21400906,San Antonio Spurs,Sacramento Kings
21400669,New York Knicks,Sacramento Kings
21400879,Sacramento Kings,Portland Trail Blazers
21400903,New Orleans Pelicans,Detroit Pistons
21400889,Dallas Mavericks,New Orleans Pelicans
21400884,Denver Nuggets,New Orleans Pelicans
21400900,Toronto Raptors,Cleveland Cavaliers
21400885,Philadelphia 76ers,Toronto Raptors
21400897,Orlando Magic,Phoenix Suns
21400891,Cleveland Cavaliers,Boston Celtics
21400883,Houston Rockets,Cleveland Cavaliers
21400896,Indiana Pacers,New York Knicks
21400881,Indiana Pacers,Philadelphia 76ers
21400887,Miami Heat,Phoenix Suns
21400901,Houston Rockets,Memphis Grizzlies
21400895,Denver Nuggets,Milwaukee Bucks
21400908,Los Angeles Clippers,Portland Trail Blazers
21400877,Chicago Bulls,Los Angeles Clippers
